index,repeat_group,repeat_index,repeat_delta_ms,repeat_status,output_path,start_ms,end_ms,start_s,end_s,duration_ms,duration_s,clip_dbfs
41,21,1,0,ok,data\split_audio\jingle_041.wav,356445,367595,356.445,367.595,11150,11.150,-20.32
42,21,2,-5,ok,data\split_audio\jingle_042.wav,367740,378885,367.740,378.885,11145,11.145,-20.35
43,22,1,0,ok,data\split_audio\jingle_043.wav,379035,389295,379.035,389.295,10260,10.260,-21.67
44,22,2,0,ok,data\split_audio\jingle_044.wav,390330,400590,390.330,400.590,10260,10.260,-21.71
45,23,1,0,ok,data\split_audio\jingle_045.wav,401625,411190,401.625,411.190,9565,9.565,-20.69
46,23,2,0,ok,data\split_audio\jingle_046.wav,412125,421690,412.125,421.690,9565,9.565,-20.70
47,24,1,0,ok,data\split_audio\jingle_047.wav,422625,432090,422.625,432.090,9465,9.465,-22.91
48,24,2,0,ok,data\split_audio\jingle_048.wav,433700,443165,433.700,443.165,9465,9.465,-22.86
49,25,1,0,ok,data\split_audio\jingle_049.wav,444975,452495,444.975,452.495,7520,7.520,-21.84
50,25,2,0,ok,data\split_audio\jingle_050.wav,452975,460495,452.975,460.495,7520,7.520,-21.84
51,26,1,0,ok,data\split_audio\jingle_051.wav,460775,469925,460.775,469.925,9150,9.150,-19.92
52,26,2,5,ok,data\split_audio\jingle_052.wav,471440,480595,471.440,480.595,9155,9.155,-19.97
53,27,1,0,ok,data\split_audio\jingle_053.wav,482110,489880,482.110,489.880,7770,7.770,-21.81
54,27,2,-5,ok,data\split_audio\jingle_054.wav,491710,499475,491.710,499.475,7765,7.765,-21.77
55,28,1,0,ok,data\split_audio\jingle_055.wav,501310,510770,501.310,510.770,9460,9.460,-21.85
56,28,2,0,ok,data\split_audio\jingle_056.wav,512375,521835,512.375,521.835,9460,9.460,-21.85
57,29,1,0,ok,data\split_audio\jingle_057.wav,523440,534125,523.440,534.125,10685,10.685,-20.36
58,29,2,0,ok,data\split_audio\jingle_058.wav,535440,546125,535.440,546.125,10685,10.685,-20.36
59,30,1,0,ok,data\split_audio\jingle_059.wav,547440,556100,547.440,556.100,8660,8.660,-21.03
60,30,2,0,ok,data\split_audio\jingle_060.wav,556670,565330,556.670,565.330,8660,8.660,-21.02
61,31,1,0,ok,data\split_audio\jingle_061.wav,565900,573050,565.900,573.050,7150,7.150,-20.24
62,31,2,0,ok,data\split_audio\jingle_062.wav,573580,580730,573.580,580.730,7150,7.150,-20.28
63,32,1,0,ok,data\split_audio\jingle_063.wav,581265,588945,581.265,588.945,7680,7.680,-19.93
64,32,2,0,ok,data\split_audio\jingle_064.wav,589265,596945,589.265,596.945,7680,7.680,-19.94
65,33,1,0,ok,data\split_audio\jingle_065.wav,597260,606695,597.260,606.695,9435,9.435,-19.89
66,33,2,-5,ok,data\split_audio\jingle_066.wav,608690,618120,608.690,618.120,9430,9.430,-19.88
